Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,07-07-2023 16:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,07-07-2023 17:00,1
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 03:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 09:00,1
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 10:00,5.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 11:00,3
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 13:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 14:00,1
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 15:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 16:00,5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 17:00,4
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 18:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 21:00,2
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,08-07-2023 23:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 00:00,1
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 01:00,2.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 02:00,6
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 03:00,6.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 04:00,5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 05:00,2
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 06:00,6.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 07:00,2.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 08:00,2
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 09:00,0.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 10:00,3.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 11:00,6
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 12:00,7.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 13:00,8.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 14:00,11
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 15:00,4.5
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 16:00,4
Bagi gumma,Himachal Pradesh,2,Himachal Pradesh,23,SHIMLA,-,-,-,-,-,-,-,-,-,31.121301,77.253986,09-07-2023 17:00,2
